"BR"	"CH"	"CL"	"DE"	"GR"	"HO"	"IW"	"LA"	"LT"	"MI"	"RC"	"SA"	"TR"	"TW"
"OTU133 "	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"OTU134 "	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"OTU135 "	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"OTU136 "	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"OTU137 "	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"OTU138 "	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU139 "	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"OTU140 "	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"OTU141 "	0	0	0	0	0	0	0	0	0	1	0	0	0	1
"OTU142 "	0	0	0	0	0	0	0	0	0	2	0	0	0	0
"OTU143 "	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"OTU144 "	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"OTU145 "	0	0	0	0	0	0	0	0	0	0	0	3	0	0
"OTU146 "	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"OTU147 "	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"OTU148 "	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"OTU149 "	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"OTU150 "	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"OTU151 "	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"OTU152 "	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"OTU153 "	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"OTU154 "	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"OTU155 "	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"OTU156 "	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"OTU157 "	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"OTU158 "	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"OTU159 "	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"OTU160 "	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"OTU161 "	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"OTU162 "	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"OTU163 "	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"OTU164 "	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"OTU165 "	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"OTU166 "	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"OTU167 "	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"OTU168 "	0	0	0	0	0	0	0	0	1	0	0	0	0	0
